"Expr1000","MSW05binom","POINT_X","POINT_Y","binomial_tree","Class","Family","Genus","Species","1-1_ActivityCycle","2-1_AgeatEyeOpening_d","3-1_AgeatFirstBirth_d","5-1_AdultBodyMass_g","5-2_BasalMetRateMass_g","5-3_NeonateBodyMass_g","5-4_WeaningBodyMass_g","5-5_AdultBodyMass_g_EXT","5-6_NeonateBodyMass_g_EXT","5-7_WeaningBodyMass_g_EXT","6-1_DietBreadth","6-2_TrophicLevel","7-1_DispersalAge_d","8-1_AdultForearmLen_mm","9-1_GestationLen_d","10-1_PopulationGrpSize","10-2_SocialGrpSize","12-1_HabitatBreadth","12-2_Terrestriality","13-1_AdultHeadBodyLen_mm","13-2_NeonateHeadBodyLen_mm","13-3_WeaningHeadBodyLen_mm","14-1_InterbirthInterval_d","15-1_LitterSize","16-1_LittersPerYear","16-2_LittersPerYear_EXT","17-1_MaxLongevity_m","18-1_BasalMetRate_mLO2hr","21-1_PopulationDensity_n/km2","22-1_HomeRange_km2","22-2_HomeRange_Indiv_km2","23-1_SexualMaturityAge_d","24-1_TeatNumber","25-1_WeaningAge_d","26-1_GR_Area_km2","26-2_GR_MaxLat_dd","26-3_GR_MinLat_dd","26-4_GR_MidRangeLat_dd","26-5_GR_MaxLong_dd","26-6_GR_MinLong_dd","26-7_GR_MidRangeLong_dd","27-1_HuPopDen_Min_n/km2","27-2_HuPopDen_Mean_n/km2","27-3_HuPopDen_5p_n/km2","27-4_HuPopDen_Change","28-1_Precip_Mean_mm","28-2_Temp_Mean_01degC","30-1_AET_Mean_mm","30-2_PET_Mean_mm"
"Herpestes naso","Herpestes naso",18.83,-1.92,"Herpestes_naso","Carnivora","Herpestidae","Herpestes","naso","1",,,"3002.08",,,,,,,"1","3",,,,,,"1","1","552.74",,,,,,,,,,"0.4","0.38",,,,"2499072.82","6.48","-11.4","-2.46","29.73","5.43","17.58","0","22.84","1","0.13","147.65","242.71","1365.36","1553.14"
"Herpestes semitorquatus","Herpestes semitorquatus",114.79,3.56,"Herpestes_semitorquatus","Carnivora","Herpestidae","Herpestes","semitorquatus",,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,"209629.86","6.12","-5.48","0.32","118.49","99.83","109.16","1","41.72","2","0.15","273.83","241.51","1695.99","1731.73"
"Herpestes smithii","Herpestes smithii",80.19,13.26,"Herpestes_smithii","Carnivora","Herpestidae","Herpestes","smithii","1",,,"1702.5",,,,,,,"6","2",,,,,,"1","1","406.27",,,,"2.5",,,,,,,,,,,"1629561.03","24.51","5.91","15.21","87.87","72.5","80.19","22","321.15","90","0.08","99.82","258.68","822.86","1539.3"
"Herpestes urva","Herpestes urva",106.47,15.20,"Herpestes_urva","Carnivora","Herpestidae","Herpestes","urva","1",,,"2384.19",,,,,,,"6","2",,,"65.7",,,"1","1","506.24",,,,"3",,,"160",,,,,,,,"3243514.37","31.84","2.68","17.26","122.13","85.86","103.99","2","222.81","12","0.07","144.94","194.75","1083.25","1300.05"
"Felis silvestris","Felis silvestris",47.30,7.44,"Felis_silvestris","Carnivora","Felidae","Felis","silvestris","2","10.95","365","4573.08","4485","106.4","587.6",,,,"1","3","140",,"65.49",,,"1","1","498.51",,,"148.25","3.59","2",,"336","3184.2","0.36","1.29","1.36","350.76",,"76.01","32110980.01","52.02","-34.83","8.59","112.13","-17.53","47.3","0","43.43","0","0.11","46.98","192.78","510.78","1278.91"
"Felovia vae","Felovia vae",-12.09,15.48,"Felovia_vae","Rodentia","Ctenodactylidae","Felovia","vae","3",,,"205",,,,,,,"3","1",,,,,,,,,,,,"1",,,,,,,,,,,"151907.23","17.95","13.1","15.53","-10.07","-14.11","-12.09","2","8.67","3","0.06","49.5","284.78","501.8","1538.19"
"Feroculus feroculus","Feroculus feroculus",80.75,7.16,"Feroculus_feroculus","Soricomorpha","Soricidae","Feroculus","feroculus",,,,"35.99",,,,,,,,,,,,,,"2","1",,,,,,,,,,,,,,,,"7179.99","7.59","6.73","7.16","81.2","80.3","80.75","104","353.9","104","0.02","174.28","246.85","1571.4","1594.12"
"Fossa fossana","Fossa fossana",48.50,-18.92,"Fossa_fossana","Carnivora","Eupleridae","Fossa","fossana","1","0",,"1853.98","2030","70",,,,,"6","2","365",,"88.38","2",,"2","2","456.88",,,"365","1",,"1.1","132","812.6","3.41","0.75","0.9","533.97","2","66.84","106522.05","-12.41","-25.2","-18.81","50.44","46.55","48.5","6","37.33","8","0.18","168.03","202.81","1329.68","1596.55"
"Funambulus layardi","Funambulus layardi",80.96,7.20,"Funambulus_layardi","Rodentia","Sciuridae","Funambulus","layardi",,,,,,,,,,,,,,,,,,,,,,,,"2.43",,,,,,,,,,,"29545.66","10.52","6.42","8.47","81.56","76.76","79.16","100","397.97","103","0.04","154.53","257.61","1365.25","1584.84"
"Funambulus palmarum","Funambulus palmarum",81.17,21.78,"Funambulus_palmarum","Rodentia","Sciuridae","Funambulus","palmarum",,,,"136.4",,,,,,,,,,,"34",,,,,,,,,"2.62",,,,,,,,,,,"907127.92","24.23","8.06","16.15","87.86","73.55","80.71","73","321.93","97","0.08","103.81","258.16","841.12","1536.06"
"Funambulus pennantii","Funambulus pennantii",76.90,25.33,"Funambulus_pennantii","Rodentia","Sciuridae","Funambulus","pennantii",,"17",,"102.49",,"6.54",,,,,,,,,"41.77",,,,,,,,"152.08","2.95","2.5",,,,,"0.00137","0.00152","250.22",,"56","2692844.28","34.3","14.91","24.6","93.32","60.48","76.9","4","319.05","15","0.1","81.53","244.09","631.74","1380.53"
"Funambulus sublineatus","Funambulus sublineatus",77.30,9.98,"Funambulus_sublineatus","Rodentia","Sciuridae","Funambulus","sublineatus",,,,"70.93",,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,"55081.67","11.64","6.63","9.14","81.49","76.42","78.95","104","431.32","129","0.04","137.77","262.91","1228","1548.02"
"Funambulus tristriatus","Funambulus tristriatus",75.63,14.04,"Funambulus_tristriatus","Rodentia","Sciuridae","Funambulus","tristriatus",,"27",,"134.62",,"5.87",,,,,,,,,,,,,,,"46.44",,,"2.64",,,,,,,,,,"125.69","266838.79","19.19","8.06","13.63","78.4","72.85","75.63","103","447.1","155","0.06","122.57","259.37","919.8","1594.21"
"Funisciurus anerythrus","Funisciurus anerythrus",16.60,0.25,"Funisciurus_anerythrus","Rodentia","Sciuridae","Funisciurus","anerythrus","3",,,"223.54",,,,,,,"1","1",,,,,,"2","2","184.2",,,,"1.32",,,,,,,,,,,"4317247.49","11.91","-9.34","1.28","32.97","0.23","16.6","0","40.21","1","0.12","136.58","245.21","1270.24","1566.04"
"Funisciurus bayonii","Funisciurus bayonii",18.43,-6.38,"Funisciurus_bayonii","Rodentia","Sciuridae","Funisciurus","bayonii",,,,"134.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"759944.78","-1.4","-12.15","-6.77","22.22","14.64","18.43","2","19.11","2","0.18","128.16","232.96","1187.59","1472.98"
"Funisciurus carruthersi","Funisciurus carruthersi",29.44,-1.19,"Funisciurus_carruthersi","Rodentia","Sciuridae","Funisciurus","carruthersi",,,,"276.85",,,,,,,,,,,,,,,,"228.31",,,,,,,,,,,,,,,"90485.48","1.05","-3.85","-1.4","30.8","28.09","29.44","14","147.04","29","0.12","106.5","193.35","1348.1","1524.21"
"Funisciurus congicus","Funisciurus congicus",19.59,-5.21,"Funisciurus_congicus","Rodentia","Sciuridae","Funisciurus","congicus","3","18",,"112","112.3","9.9",,,,,"4","2",,,"54.23",,,"2","2","146.46",,,"60","2.44",,"2.74","114","95.45","1000","0.00329",,,,"49.99","1982840","2.01","-19.6","-8.79","26.37","12.81","19.59","0","13.18","2","0.16","122.5","229.93","1165.33","1484.56"
"Funisciurus isabella","Funisciurus isabella",12.42,2.06,"Funisciurus_isabella","Rodentia","Sciuridae","Funisciurus","isabella","3",,,"109.31","60",,,,,,"1","1",,,,,,"2","2","156.98",,,,"0.98",,,,"102.06",,,,,,,"459256.71","5.93","-1.74","2.09","16.16","8.65","12.41","1","20.64","1","0.05","167.03","241.78","1317.96","1502.16"
"Funisciurus lemniscatus","Funisciurus lemniscatus",13.90,-0.03,"Funisciurus_lemniscatus","Rodentia","Sciuridae","Funisciurus","lemniscatus","3",,,"140.99","95",,,,,,"2","2",,,,,,"2","2","167.4",,,,"1.8",,,,"89.58",,,,,,,"1103962.08","6","-5.96","0.02","19.1","8.69","13.9","0","20.97","1","0.09","151.74","244.45","1299.26","1505.07"
"Funisciurus leucogenys","Funisciurus leucogenys",7.51,6.15,"Funisciurus_leucogenys","Rodentia","Sciuridae","Funisciurus","leucogenys",,,,"250",,,,,,,,,,,,,,,,,,,,"0.97",,,,,,,,,,,"530067.11","8.13","0.8","4.46","14.75","0.26","7.51","1","119.61","4","0.1","156.48","248.64","1242.73","1544.4"
"Funisciurus pyrropus","Funisciurus pyrropus",19.10,-1.69,"Funisciurus_pyrropus","Rodentia","Sciuridae","Funisciurus","pyrropus","3",,,"243.18","244",,,,,,"1","1",,,,,,"1","1","204.81",,,,"1.26",,,,"181.29",,,,,,,"3542071.4","13.37","-8.12","2.62","34.07","-16.13","8.96","0","40.56","1","0.12","149.16","244.1","1328.27","1550.95"
"Funisciurus substriatus","Funisciurus substriatus",3.17,7.01,"Funisciurus_substriatus","Rodentia","Sciuridae","Funisciurus","substriatus",,,,"185.73",,,,,,,,,,,,,,,,"183.7",,,,,,,,,,,,,,,"73507.66","7.64","4.53","6.08","6.4","-0.04","3.17","45","268.21","62","0.15","131.24","267.08","1236.4","1613.84"
"Furipterus horrens","Furipterus horrens",-59.57,-0.42,"Furipterus_horrens","Chiroptera","Furipteridae","Furipterus","horrens",,,,"3.15",,,,,,,"1","3",,"35.49",,,,"1","2",,,,,"1",,,,,,,,,,,"8511305.96","12.46","-26.52","-7.02","-34.79","-84.36","-59.57","0","29.98","0","0.1","159.6","243.71","1347.92","1572.7"
"Galago alleni","Galago alleni",8.68,3.48,"Galago_alleni","Primates","Galagidae","Galago","alleni","1",,"341.27","266.03",,"23.93",,,,,"2","1",,,"133",,"6","2","2","200",,,"365","1.29","1",,"144",,"16.47","0.18","0.2","283.18",,,"1953.16","3.78","3.2","3.49","8.93","8.42","8.68","10","37.65","10","0.15",,,,
"Galago cameronensis","Galago cameronensis",8.65,4.57,"Galago_cameronensis","Primates","Galagidae","Galago","cameronensis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107495.03","6.85","3.58","5.21","11.27","6.02","8.65","9","194.22","13","0.11","214.64","248.61","1247.89","1551.7"
"Galago demidoff","Galago demidoff",9.92,-1.26,"Galago_demidoff","Primates","Galagidae","Galago","demidoff","1",,"359.52","66.04","63.8","9.89",,,,,"4","2",,,"111",,"5.5",,,"120",,,"365","1.29","1.5",,"168","63.2","57.57","0.01","0.01","345.24",,"43.47","4292912.28","9.93","-10.23","-0.14","38.21","-13.32","12.44","0","43","1","0.13","140.43","243.64","1291.36","1553.22"
"Galago gabonensis","Galago gabonensis",11.64,-3.68,"Galago_gabonensis","Primates","Galagidae","Galago","gabonensis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"465080.61","4.89","-6.05","-0.58","14.59","8.69","11.64","0","17.38","1","0.08","157.01","242.78","1267.81","1494.24"
"Galago gallarum","Galago gallarum",41.53,3.51,"Galago_gallarum","Primates","Galagidae","Galago","gallarum",,,,"250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"798526.55","8.73","-2.2","3.26","46.57","36.49","41.53","1","15.44","1","0.09","42.54","237.88","638.88","1631.51"
"Galago granti","Galago granti",37.43,-17.62,"Galago_granti","Primates","Galagidae","Galago","granti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"586401.64","-7.63","-18.87","-13.25","40.84","34.02","37.43","1","33.04","2","0.17","88.48","240.42","949.46","1563.17"
"Galago matschiei","Galago matschiei",29.81,0.58,"Galago_matschiei","Primates","Galagidae","Galago","matschiei",,,,"211.61",,,,,,,,,,,,,"1",,,"160",,,,"0.99",,,,,,,,,,,"184700.23","2.67","-3.33","-0.33","34.91","27.3","31.11","2","76.59","5","0.17","116.5","215.01","1391.64","1568"
"Galago moholi","Galago moholi",26.28,-16.03,"Galago_moholi","Primates","Galagidae","Galago","moholi",,,"259.15","191.96",,"11.73","95",,,,"2","1",,,"122.29",,"1",,,,,,"182.5","1.6",,"1.56","198",,"172.04","0.04",,"420.91",,"90.46","5183682.21","0.23","-27.17","-13.46","40.84","11.73","26.28","0","24.77","1","0.17","80.12","217.3","852.21","1461.88"
"Galago nyasae","Galago nyasae",35.16,-15.94,"Galago_nyasae","Primates","Galagidae","Galago","nyasae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74222.64","-14.44","-17.49","-15.97","36.54","33.78","35.16","7","66.99","9","0.18","85.56","233.38","979.42","1488.87"
"Galago orinus","Galago orinus",36.37,-7.31,"Galago_orinus","Primates","Galagidae","Galago","orinus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69256.66","-5.66","-9.29","-7.48","37.95","34.8","36.37","8","27.38","11","0.16","71.04","226.83","894.28","1439.03"
"Galago rondoensis","Galago rondoensis",39.32,-10.23,"Galago_rondoensis","Primates","Galagidae","Galago","rondoensis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11924.95","-9.59","-10.81","-10.2","39.86","38.77","39.32","16","44.09","16","0.11","78.44","250.11","924.66","1734.45"
"Galago senegalensis","Galago senegalensis",14.48,9.57,"Galago_senegalensis","Primates","Galagidae","Galago","senegalensis","1",,"511","215.2","223.25","11.5","122.47",,,,"3","2",,,"126.98",,"3.5",,,"160",,,"219","1.5","2",,"204","167.6","89.77","0.08","0.11","330.37",,"93.93","8867497.32","17.84","-13.94","1.95","46.5","-17.53","14.48","0","42.66","1","0.12","80.08","249.92","836.61","1594.8"
"Gerbillus henleyi","Gerbillus henleyi",13.00,31.12,"Gerbillus_henleyi","Rodentia","Muridae","Gerbillus","henleyi",,,,"8",,,,,,,,,,,,,,,,,,,,"4",,,,,,,,,,,"2211159.28","36.65","16.6","26.63","39.18","-13.18","13","0","41.08","0","0.14","8.21","210.84","135.76","1220.02"
"Gerbillus hesperinus","Gerbillus hesperinus",-7.51,33.34,"Gerbillus_hesperinus","Rodentia","Muridae","Gerbillus","hesperinus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14744.63","34.34","32.88","33.61","-6.32","-8.71","-7.51","60","581.73","60","0.1","33.05","162.39","424.32","1301.52"
"Gerbillus hoogstraali","Gerbillus hoogstraali",-8.87,30.48,"Gerbillus_hoogstraali","Rodentia","Muridae","Gerbillus","hoogstraali",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"341.84","30.58","30.38","30.48","-8.77","-8.97","-8.87","41","45.48","41","0.05","17.49","153.1","440.45","1275.96"
"Gerbillus latastei","Gerbillus latastei",12.76,32.37,"Gerbillus_latastei","Rodentia","Muridae","Gerbillus","latastei",,,,,,,,,,,,,,,,,,,,,,,,"4.86",,,,,,,,,,,"51764.65","33.99","31.43","32.71","15.56","9.96","12.76","1","51.33","1","0.08","14.54","201.38","224.12","1279.88"
"Gerbillus mauritaniae","Gerbillus mauritaniae",-12.14,20.70,"Gerbillus_mauritaniae","Rodentia","Muridae","Gerbillus","mauritaniae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"532.29","20.82","20.57","20.7","-12.02","-12.26","-12.14","0","0","0",,"8","267","93","1309"
"Gerbillus mesopotamiae","Gerbillus mesopotamiae",46.32,31.96,"Gerbillus_mesopotamiae","Rodentia","Muridae","Gerbillus","mesopotamiae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"274832.02","36.95","30","33.47","50.98","41.65","46.32","6","62.52","9","0.11","18.88","212.75","242.95","1279.86"
"Gerbillus muriculus","Gerbillus muriculus",26.57,14.45,"Gerbillus_muriculus","Rodentia","Muridae","Gerbillus","muriculus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10686.78","15.04","13.89","14.46","27.04","26.09","26.57","1","1.8","1","0","18.7","244.39","537.73","1577.31"
"Gerbillus nancillus","Gerbillus nancillus",25.65,13.95,"Gerbillus_nancillus","Rodentia","Muridae","Gerbillus","nancillus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16446.8","14.85","13.1","13.97","26.18","25.12","25.65","1","11.2","1","0.22","22.73","243.55","468.05","1606.49"
"Gerbillus nanus","Gerbillus nanus",20.42,23.67,"Gerbillus_nanus","Rodentia","Muridae","Gerbillus","nanus",,"21",,"25.5","29.85",,,,,,,,,,"20.97",,,,,"63.77",,,,"3.16","3",,,"17.44",,,,,,"27.79","11234954.13","36.92","6.48","21.7","78","-10.55","33.72","0","36.95","0","0.12","14.14","224.7","194.05","1307.07"
"Gerbillus nigeriae","Gerbillus nigeriae",4.38,14.61,"Gerbillus_nigeriae","Rodentia","Muridae","Gerbillus","nigeriae",,,,"29.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"210504.65","15.73","12.21","13.97","9.91","-1.15","4.38","1","45.94","2","0.15","40.43","282.98","517.8","1631.77"
"Gerbillus occiduus","Gerbillus occiduus",-10.82,28.73,"Gerbillus_occiduus","Rodentia","Muridae","Gerbillus","occiduus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"177.99","28.8","28.66","28.73","-10.75","-10.89","-10.82","5","5","5","0","10","177","176","1635"
"Gerbillus perpallidus","Gerbillus perpallidus",27.89,29.96,"Gerbillus_perpallidus","Rodentia","Muridae","Gerbillus","perpallidus",,,,"52.22","54.7","2.24","17.23",,,,,,,,"20.22",,,,,,,,,"4.65",,,,"46.65",,,,,,,"86678.61","31.62","28.81","30.22","29.92","25.87","27.89","1","61.87","1","0.02","5.57","202.7","93.21","1376.13"
"Gerbillus poecilops","Gerbillus poecilops",42.47,18.59,"Gerbillus_poecilops","Rodentia","Muridae","Gerbillus","poecilops",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"149223.36","21.62","12.83","17.22","45.49","39.45","42.47","10","89.98","25","0.21","12.6","210.26","221.15","1640.08"
"Gerbillus principulus","Gerbillus principulus",26.68,15.37,"Gerbillus_principulus","Rodentia","Muridae","Gerbillus","principulus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13010.3","16.15","14.66","15.4","27.18","26.19","26.68","1","1.27","1","0","13.55","250.71","578.7","1425.44"
"Gerbillus pulvinatus","Gerbillus pulvinatus",36.57,4.77,"Gerbillus_pulvinatus","Rodentia","Muridae","Gerbillus","pulvinatus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12542.05","9.87","4.32","7.1","40.92","35.98","38.45","1","14.27","1","0.07","46.89","258.23","991.91","1446.86"
"Gerbillus pusillus","Gerbillus pusillus",37.06,-1.35,"Gerbillus_pusillus","Rodentia","Muridae","Gerbillus","pusillus",,,,"12.55","12.6",,,,,,,,,,,,,,,,,,,,,,,"13.48",,,,,,,"529858.77","7.2","-6.04","0.57","43.95","34.16","39.06","1","30.65","2","0.14","51.53","237.55","769.07","1571.56"
"Gerbillus pyramidum","Gerbillus pyramidum",30.62,24.92,"Gerbillus_pyramidum","Rodentia","Muridae","Gerbillus","pyramidum","1","19.5",,"42.8","80.9","2.5","14.83",,,,"1","1",,,"22.14",,,,,"101.71","32.99",,,"3.3","5",,"98.4","81.37",,,,"78.15",,"27.5","673374.84","31.6","18.41","25","36.05","25.18","30.62","0","83.29","0","0.06","2.59","236.89","28.4","1298.82"
"Gerbillus rosalinda","Gerbillus rosalinda",29.45,12.48,"Gerbillus_rosalinda","Rodentia","Muridae","Gerbillus","rosalinda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18621.39","13.29","11.72","12.51","30.07","28.83","29.45","7","16.32","7","0.06","40.15","243.13","532.29","1615.06"
"Gerbillus syrticus","Gerbillus syrticus",17.75,30.75,"Gerbillus_syrticus","Rodentia","Muridae","Gerbillus","syrticus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"745.01","30.9","30.6","30.75","17.9","17.6","17.75","3","3","3","0","11","195","141","922"
"Gerbillus tarabuli","Gerbillus tarabuli",14.60,25.99,"Gerbillus_tarabuli","Rodentia","Muridae","Gerbillus","tarabuli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"507731.82","28.42","16","22.21","18.32","-17.1","0.61","0","4.01","0","0.04","2.83","224.71","54.41","1206.95"
"Gerbillus vivax","Gerbillus vivax",14.60,25.99,"Gerbillus_vivax","Rodentia","Muridae","Gerbillus","vivax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"317081.09","28.42","23.59","26","18.32","10.88","14.6","0","0.53","0","0.01","0.68","221.69","16.53","1124.38"
"Gerbillus watersi","Gerbillus watersi",32.62,17.60,"Gerbillus_watersi","Rodentia","Muridae","Gerbillus","watersi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"259090.46","20.22","1.67","10.94","45.98","30.03","38","0","24.13","1","0.06","15.75","271.91","225.8","1544.07"
"Giraffa camelopardalis","Giraffa camelopardalis",32.84,6.65,"Giraffa_camelopardalis","Artiodactyla","Giraffidae","Giraffa","camelopardalis","2",,"1825","964654.73",,"55244.9",,,,,"5","1",,,"455.25",,"100","1","1","4177.03",,,"608.33","1.29","1",,"435.6",,"1.23","81.52","99.56","1633.59","4","212.91","2791592.69","16.35","-25.59","-4.62","41.12","0.64","20.88","0","18.23","1","0.1","64.96","238.58","783.5","1552.64"
"Glaucomys sabrinus","Glaucomys sabrinus",-105.10,58.25,"Glaucomys_sabrinus","Rodentia","Sciuridae","Glaucomys","sabrinus","1","31.5",,"137.53",,"5.64","39.74",,,,"6","2",,,"40",,,"2","2","160.82","48.7","107.7",,"3","1",,"156",,"85.93","0.05","0.04","335.63",,"65","7838140.85","69.02","33.88","51.45","-55.61","-154.58","-105.1","0","10.56","0","0.05","50.42","-10.82","366.01","453.61"
"Glaucomys volans","Glaucomys volans",-79.98,37.40,"Glaucomys_volans","Rodentia","Sciuridae","Glaucomys","volans","1","26",,"71.9","73","3.61","46.2",,,,"5","2",,,"39.49",,,"1","2","127.98",,,"116.75","3.13","2",,"144","67.05","447.59","0.00535","0.00879","335.63",,"57.23","3850610.98","48.1","13.7","30.9","-60.96","-108.69","-84.83","0","68.15","3","0.05","85.84","137.16","840.75","988.8"
"Glauconycteris alboguttata","Glauconycteris alboguttata",21.07,1.02,"Glauconycteris_alboguttata","Chiroptera","Vespertilionidae","Glauconycteris","alboguttata",,,,,,,,"9.05",,,,,,"38.99",,,,"1","2",,,,,,,,,,,,,,,,"701738.61","3.51","-1.72","0.89","28.05","14.08","21.07","0","8.29","1","0.12","153.37","248.39","1508.16","1588.51"
"Glauconycteris argentata","Glauconycteris argentata",24.27,-5.74,"Glauconycteris_argentata","Chiroptera","Vespertilionidae","Glauconycteris","argentata",,,,"9.3",,,,,,,,,,"40.5",,,,"1","2",,,,,,,,,,,,,,,,"3176921.13","4.17","-10.15","-2.99","38.65","9.9","24.27","0","34.7","1","0.14","120.04","231.14","1181.3","1527.68"
"Glauconycteris beatrix","Glauconycteris beatrix",-3.35,6.97,"Glauconycteris_beatrix","Chiroptera","Vespertilionidae","Glauconycteris","beatrix",,,,"7.5",,,,,,,,,,"37",,,,"1","2",,,,,,,,,,,,,,,,"438945.12","8.88","-2.21","3.33","12.84","-7.07","2.88","1","57.15","1","0.12","139.41","258.5","1297.94","1577.02"
"Glauconycteris curryae","Glauconycteris curryae",14.92,1.95,"Glauconycteris_curryae","Chiroptera","Vespertilionidae","Glauconycteris","curryae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"135394.2","4.75","-0.29","2.22","17.38","12.46","14.92","0","3.23","1","0.03","140","242.2","1397.73","1496.73"
"Glauconycteris egeria","Glauconycteris egeria",15.25,5.21,"Glauconycteris_egeria","Chiroptera","Vespertilionidae","Glauconycteris","egeria",,,,,,,,"8.41",,,,,,"38",,,,"1","2",,,,,,,,,,,,,,,,"284430.95","7.36","2.87","5.12","18.58","11.91","15.25","1","8","3","0.1","129.53","241.95","1179.46","1500.5"
"Glauconycteris gleni","Glauconycteris gleni",12.64,4.82,"Glauconycteris_gleni","Chiroptera","Vespertilionidae","Glauconycteris","gleni",,,,"10.81",,,,,,,,,,"40",,,,"1","2",,,,,,,,,,,,,,,,"211544.64","6.68","0.12","3.4","34.25","10.88","22.56","4","51.42","4","0.11","125.05","236.58","1246.73","1521.13"
"Glauconycteris humeralis","Glauconycteris humeralis",31.19,1.41,"Glauconycteris_humeralis","Chiroptera","Vespertilionidae","Glauconycteris","humeralis",,,,"5.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"292110.54","2.79","-2.24","0.27","35.55","26.82","31.19","1","65.59","2","0.16","118.09","223.94","1361.41","1596.03"
"Glauconycteris kenyacola","Glauconycteris kenyacola",40.12,-2.21,"Glauconycteris_kenyacola","Chiroptera","Vespertilionidae","Glauconycteris","kenyacola",,,,"7.17",,,,,,,,,,"40.5",,,,"1","2",,,,,,,,,,,,,,,,"70.18","-2.16","-2.25","-2.21","40.16","40.08","40.12","5","5","5","0.25","66","272","887","1761"
"Glauconycteris machadoi","Glauconycteris machadoi",20.81,-11.73,"Glauconycteris_machadoi","Chiroptera","Vespertilionidae","Glauconycteris","machadoi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"599.87","-11.6","-11.85","-11.73","20.94","20.68","20.81","2","2","2","1","104","224","882","1341"
"Leopardus braccatus","Leopardus braccatus",-55.85,-19.41,"Leopardus_braccatus","Carnivora","Felidae","Leopardus","braccatus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"935418.44","-13.54","-34.98","-24.26","-50.65","-58.92","-54.78","0","17.31","1","0.11","114.18","212.99","1165.74","1298.05"
"Glauconycteris poensis","Glauconycteris poensis",6.51,6.14,"Glauconycteris_poensis","Chiroptera","Vespertilionidae","Glauconycteris","poensis",,,,"6.91",,,,,,,,,,"37.5",,,,"1","2",,,,,,,,,,,,,,,,"1787468.99","14.3","-2.97","5.66","29.85","-16.82","6.51","1","69.26","2","0.11","157.62","251.73","1304.57","1556.73"
"Glauconycteris superba","Glauconycteris superba",-3.48,6.67,"Glauconycteris_superba","Chiroptera","Vespertilionidae","Glauconycteris","superba",,,,,,,,"15",,,,,,"46.5",,,,"1","2",,,,,,,,,,,,,,,,"294978.85","8.21","-0.21","3.99","32.11","-7.26","12.42","10","83.41","19","0.18","120.11","255.52","1328.56","1602.89"
"Glauconycteris variegata","Glauconycteris variegata",12.23,-3.30,"Glauconycteris_variegata","Chiroptera","Vespertilionidae","Glauconycteris","variegata",,,,"11.25",,,,,,,"1","3",,"43.54",,,,"1","2",,,,,"1.12",,,,,,,,,,,"9810939.42","14.33","-30.74","-8.2","41.4","-16.94","12.23","0","36.23","1","0.14","106.66","236.76","1037.93","1531.22"
"Glironia venusta","Glironia venusta",-69.68,-12.48,"Glironia_venusta","Didelphimorphia","Didelphidae","Glironia","venusta","1",,,"114",,,,,,,"2","2",,,,,,"1","2","176.13",,,,,,,,,,,,,,,"840174.99","0.04","-17.67","-8.81","-55.81","-78.78","-67.29","0","4.63","0","0.15","176.89","245.88","1378.68","1492.08"
"Glirulus japonicus","Glirulus japonicus",135.87,34.56,"Glirulus_japonicus","Rodentia","Gliridae","Glirulus","japonicus","1","14.5",,,,,,"12.26",,,"4","2",,,"31.4",,,"1","2","72.5",,,,"4","1.5",,,,,,,"145.02",,"38","190065.26","37.52","30.98","34.25","140.88","129.55","135.21","112","469.59","114","0.00962","150.46","116.54","841.22","886.83"
