"Expr1000","MSW05binom","POINT_X","POINT_Y","binomial_tree","Class","Family","Genus","Species","1-1_ActivityCycle","2-1_AgeatEyeOpening_d","3-1_AgeatFirstBirth_d","5-1_AdultBodyMass_g","5-2_BasalMetRateMass_g","5-3_NeonateBodyMass_g","5-4_WeaningBodyMass_g","5-5_AdultBodyMass_g_EXT","5-6_NeonateBodyMass_g_EXT","5-7_WeaningBodyMass_g_EXT","6-1_DietBreadth","6-2_TrophicLevel","7-1_DispersalAge_d","8-1_AdultForearmLen_mm","9-1_GestationLen_d","10-1_PopulationGrpSize","10-2_SocialGrpSize","12-1_HabitatBreadth","12-2_Terrestriality","13-1_AdultHeadBodyLen_mm","13-2_NeonateHeadBodyLen_mm","13-3_WeaningHeadBodyLen_mm","14-1_InterbirthInterval_d","15-1_LitterSize","16-1_LittersPerYear","16-2_LittersPerYear_EXT","17-1_MaxLongevity_m","18-1_BasalMetRate_mLO2hr","21-1_PopulationDensity_n/km2","22-1_HomeRange_km2","22-2_HomeRange_Indiv_km2","23-1_SexualMaturityAge_d","24-1_TeatNumber","25-1_WeaningAge_d","26-1_GR_Area_km2","26-2_GR_MaxLat_dd","26-3_GR_MinLat_dd","26-4_GR_MidRangeLat_dd","26-5_GR_MaxLong_dd","26-6_GR_MinLong_dd","26-7_GR_MidRangeLong_dd","27-1_HuPopDen_Min_n/km2","27-2_HuPopDen_Mean_n/km2","27-3_HuPopDen_5p_n/km2","27-4_HuPopDen_Change","28-1_Precip_Mean_mm","28-2_Temp_Mean_01degC","30-1_AET_Mean_mm","30-2_PET_Mean_mm"
"Ochotona erythrotis","Ochotona erythrotis",98.83,36.26,"Ochotona_erythrotis","Lagomorpha","Ochotonidae","Ochotona","erythrotis",,,,,,,,"412.45",,,,,,,,,,"2","1","245",,,,,,,,,,,,,,,"394635.9","40.11","32.39","36.25","102.27","86.82","94.54","0","12.3","0","0.04","43.71","-48.59","306.14","759.35"
"Ochotona forresti","Ochotona forresti",94.04,28.15,"Ochotona_forresti","Lagomorpha","Ochotonidae","Ochotona","forresti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"312212.22","29.5","25.64","27.57","100.44","87.65","94.04","1","48.45","1","0.1","174.58","67.23","995.18","1180.14"
"Ochotona gaoligongensis","Ochotona gaoligongensis",98.46,27.74,"Ochotona_gaoligongensis","Lagomorpha","Ochotonidae","Ochotona","gaoligongensis",,,,,,,,"136.59",,,,,,,,,,"1","1","167.08",,,,,,,,,,,,,,,"4.89","27.76","27.73","27.74","98.47","98.45","98.46","5","5","5","0.25","195","113","998","1117"
"Ochotona gloveri","Ochotona gloveri",98.72,30.74,"Ochotona_gloveri","Lagomorpha","Ochotonidae","Ochotona","gloveri",,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,"205591.09","33.8","26.43","30.11","100.63","96.82","98.72","1","9.71","2","0.07","152.24","-16.18","682.43","925.46"
"Ochotona himalayana","Ochotona himalayana",85.70,28.40,"Ochotona_himalayana","Lagomorpha","Ochotonidae","Ochotona","himalayana",,,,,,,,"132.9",,,,,,,,,,"1","1","165.5",,,,"3.42",,,,,,,,,,,"35498.06","30.41","27.91","29.16","97.42","84.02","90.72","0","21.4","0","0.06","102.73","-84.18","886.87","1097.05"
"Ochotona hoffmanni","Ochotona hoffmanni",105.74,50.21,"Ochotona_hoffmanni","Lagomorpha","Ochotonidae","Ochotona","hoffmanni",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30238.14","51.73","48.67","50.2","107.63","103.86","105.74","2","10.83","2","0.25","20.52","-31.4","350.65","476.12"
"Ochotona huangensis","Ochotona huangensis",105.76,33.93,"Ochotona_huangensis","Lagomorpha","Ochotonidae","Ochotona","huangensis",,,,"105.33",,,,,,,,,,,,,,,,"156.39",,,,,,,,,,,,,,,"166222.22","35.6","30.95","33.28","110.04","101.47","105.76","4","113.36","6","0.06","59.62","70.46","691.73","853.28"
"Ochotona hyperborea","Ochotona hyperborea",132.19,58.32,"Ochotona_hyperborea","Lagomorpha","Ochotonidae","Ochotona","hyperborea",,,,"120",,"9.59",,,,,,,,,"28",,,"1","1","160",,,,"3.02",,,,,"3376.38","0.00215","0.00257",,,,"10228947.77","74.8","39.08","56.94","179.99","60.91","120.45","0","5.75","0","-0.04","28.26","-92.29","278.27","320.26"
"Ochotona iliensis","Ochotona iliensis",84.39,44.03,"Ochotona_iliensis","Lagomorpha","Ochotonidae","Ochotona","iliensis",,,,,,,,"240.3",,,,,,,,,,"1","1","203.19",,,,,,,,,,,,,,,"57046.16","45.14","42.63","43.89","88.01","80.77","84.39","4","27.8","5","0.09","15.53","-17.96","244.57","711.18"
"Ochotona koslowi","Ochotona koslowi",88.97,37.65,"Ochotona_koslowi","Lagomorpha","Ochotonidae","Ochotona","koslowi","3",,,,,,,"388.57",,,,,,,,,,"2","1","239.99",,,,"1","1",,,,,,,,,,"38543.68","38.59","36.71","37.65","90.33","87.6","88.97","0","0","0",,"20.76","-92.6","43.94","790.42"
"Ochotona ladacensis","Ochotona ladacensis",86.47,36.23,"Ochotona_ladacensis","Lagomorpha","Ochotonidae","Ochotona","ladacensis",,,,,,,,"162.39",,,"1","1",,,,,,"2","1","177.4",,,,,,,,,,,,,,,"726242.14","39.6","32.34","35.97","96.72","76.21","86.47","0","2.87","0","0.05","18.63","-61.26","123.04","749.13"
"Ochotona macrotis","Ochotona macrotis",87.83,28.37,"Ochotona_macrotis","Lagomorpha","Ochotonidae","Ochotona","macrotis",,,,"204.75",,,,,,,,,,,,,,"1","1","178.5",,,,"4.23","2",,,,"1200",,,"371.23",,,"2201966.15","44.16","25.28","34.72","104.18","71.48","87.83","0","27.27","0","0.06","67.32","-15.75","444.9","882"
"Ochotona muliensis","Ochotona muliensis",101.43,26.83,"Ochotona_muliensis","Lagomorpha","Ochotonidae","Ochotona","muliensis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27843.24","27.77","25.87","26.82","102.28","100.58","101.43","23","79.57","23","0.06","113.25","124.88","829.1","1105.88"
"Ochotona nigritia","Ochotona nigritia",98.62,26.00,"Ochotona_nigritia","Lagomorpha","Ochotonidae","Ochotona","nigritia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.68","26.02","25.99","26","98.64","98.6","98.62","34","54.04","34","0.07","144.97","-19.97","1154.85","1282.47"
"Ochotona nubrica","Ochotona nubrica",86.28,29.15,"Ochotona_nubrica","Lagomorpha","Ochotonidae","Ochotona","nubrica",,,,,,,,"100.05",,,,,,,,,,"2","1","150",,,,,,,,,,,,,,,"564920.82","35.57","27.42","31.49","94.92","77.64","86.28","0","14.67","0","0.09","71.46","-39.36","580.28","948.89"
"Ochotona pallasi","Ochotona pallasi",95.09,45.32,"Ochotona_pallasi","Lagomorpha","Ochotonidae","Ochotona","pallasi",,,,,,"7",,,,,,,,,"25",,,"2","1",,,,,"7.45","2.5",,"48",,"10000","0.00175","0.00188","365",,"19.44","723598.9","51.23","39.16","45.2","114.21","70.35","92.28","0","4.59","0","0.03","18.98","-5.21","229.49","570.5"
"Ochotona princeps","Ochotona princeps",-118.04,36.98,"Ochotona_princeps","Lagomorpha","Ochotonidae","Ochotona","princeps","3","7",,"157.63","109","11","88.49",,,,"2","1",,,"30.44","1",,"1","1","190",,,"30.41","2.88","2",,"84","166.77","774.59","0.00111","0.00137","374.39",,"26.45","1346175.96","54.58","35.26","44.92","-103.58","-127.78","-115.68","0","10.06","0","0.1","39.59","43.58","374.48","769.08"
"Ochotona pusilla","Ochotona pusilla",68.69,50.77,"Ochotona_pusilla","Lagomorpha","Ochotonidae","Ochotona","pusilla",,,,"142.5",,"6.74",,,,,"1","1",,,"21.99",,,"2","1","157",,,,"8.59","3.5",,"48",,"3279.99",,,"31.87",,"21","1451427.17","54.62","46.44","50.53","86.55","50.83","68.69","0","8.17","0","-0.00532","24.39","26.8","318.01","526.04"
"Ochotona roylei","Ochotona roylei",80.38,32.16,"Ochotona_roylei","Lagomorpha","Ochotonidae","Ochotona","roylei",,,,"260",,"7",,,,,,,,,,,,"1","1","177.71",,,,"3","1.5",,,,"1172.6",,,"335.51","4","21","382682.29","37.27","27.42","32.34","87.65","73.11","80.38","0","33.44","0","0.09","48.02","-36.12","487.94","959.47"
"Pelea capreolus","Pelea capreolus",24.34,-31.29,"Pelea_capreolus","Artiodactyla","Bovidae","Pelea","capreolus","3",,,"22731.33",,,,,,,"2","1",,,"260.99",,"10.25","1","1",,,,,"1",,,"147.96",,"18.71",,,,"4",,"866217.26","-22.59","-34.83","-28.71","31.75","16.92","24.34","0","34.26","1","0.1","42.22","164.23","592.41","1148"
"Pelomys campanae","Pelomys campanae",14.02,-8.64,"Pelomys_campanae","Rodentia","Muridae","Pelomys","campanae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"181683.59","-5.03","-12.15","-8.59","15.77","12.27","14.02","5","37.47","5","0.21","92.11","227.53","1017.04","1520.67"
"Pelomys fallax","Pelomys fallax",26.28,-11.99,"Pelomys_fallax","Rodentia","Muridae","Pelomys","fallax",,,,"120.46",,,,,,,,,,,,,,,,,,,,"4",,,,,"983.2",,,,,,"5222579.33","-0.64","-22.67","-11.66","40.84","11.73","26.28","1","26.92","1","0.17","89.99","221.43","929.52","1485.47"
